task id resource start end time type
mProject 25 1536 506 16835 16404 sdbcs 
mProject 634 1536 460 17424 16400 sdbcs 
mProject 28 1536 455 16804 16406 sdbcs 
mProject 649 1536 1123 17383 16402 sdbcs 
mProject 314 1536 503 16838 16402 sdbcs 
mProject 353 1536 513 16838 16408 sdbcs 
mProject 335 1536 518 16982 16408 sdbcs 
mProject 29 1536 404 17509 16401 sdbcs 
mProject 320 1536 521 17149 16407 sdbcs 
mProject 658 1536 1319 19196 16399 sdbcs 
mProject 34 1536 500 16657 16404 sdbcs 
mProject 664 1536 1056 18283 16404 sdbcs 
mProject 346 1536 533 16863 16402 sdbcs 
mProject 44 1536 497 17249 16401 sdbcs 
mProject 343 1536 527 16760 16404 sdbcs 
mProject 31 1536 1051 17737 16406 sdbcs 
mProject 644 1536 1124 17622 16408 sdbcs 
mProject 341 1536 1111 19557 16404 sdbcs 
mProject 8 1536 508 16801 16408 sdbcs 
mProject 35 1536 474 16453 16400 sdbcs 
mProject 327 1536 495 16737 16408 sdbcs 
mProject 3 1536 401 16787 16402 sdbcs 
mProject 352 1536 1050 17572 16404 sdbcs 
mProject 344 1536 1039 17624 16404 sdbcs 
mProject 23 1536 448 16644 16404 sdbcs 
mProject 323 1536 514 16896 16404 sdbcs 
mDiffFit 159 1536 18457 18969 497 sdbcs 
mDiffFit 379 1536 18028 18346 538 sdbcs 
mDiffFit 458 1536 17236 17655 518 sdbcs 
mDiffFit 872 1536 19324 20021 408 sdbcs 
mDiffFit 172 1536 17182 17831 559 sdbcs 
mDiffFit 457 1536 17927 18284 518 sdbcs 
mDiffFit 511 1536 18175 18848 518 sdbcs 
mDiffFit 150 1536 18292 18594 476 sdbcs 
mDiffFit 712 1536 17851 18177 549 sdbcs 
mDiffFit 566 1536 18355 18644 476 sdbcs 
mDiffFit 226 1536 17510 17865 427 sdbcs 
mDiffFit 560 1536 18409 18811 518 sdbcs 
mDiffFit 111 1536 18718 19104 456 sdbcs 
mDiffFit 725 1536 18491 18808 427 sdbcs 
mDiffFit 184 1536 17830 18475 487 sdbcs 
mDiffFit 490 1536 18492 19050 487 sdbcs 
mDiffFit 485 1536 17695 18202 507 sdbcs 
mDiffFit 175 1536 17872 18501 417 sdbcs 
mDiffFit 126 1536 17365 18050 427 sdbcs 
mDiffFit 371 1536 17990 18354 476 sdbcs 
mDiffFit 481 1536 18349 18672 487 sdbcs 
mDiffFit 221 1536 17063 17578 507 sdbcs 
mDiffFit 192 1536 17658 18315 476 sdbcs 
mDiffFit 563 1536 17415 17876 487 sdbcs 
mDiffFit 713 1536 18584 18828 427 sdbcs 
mDiffFit 700 1536 17886 18910 518 sdbcs 
mDiffFit 359 1536 18118 18750 476 sdbcs 
mDiffFit 107 1536 18647 18974 476 sdbcs 
mDiffFit 258 1536 18520 19195 487 sdbcs 
mDiffFit 801 1536 18174 19113 412 sdbcs 
mDiffFit 726 1536 18160 18423 437 sdbcs 
mDiffFit 871 1536 18670 18951 466 sdbcs 
mDiffFit 140 1536 17800 18122 507 sdbcs 
