task id resource start end time type
mProject 323 1536 514 16896 16382 sdbcs 
mDiffFit 159 1536 18457 18969 512 sdbcs 
mDiffFit 379 1536 18028 18346 318 sdbcs 
mDiffFit 458 1536 17236 17655 419 sdbcs 
mDiffFit 872 1536 19324 20021 697 sdbcs 
mDiffFit 172 1536 17182 17831 649 sdbcs 
mDiffFit 457 1536 17927 18284 357 sdbcs 
mDiffFit 511 1536 18175 18848 673 sdbcs 
mDiffFit 150 1536 18292 18594 302 sdbcs 
mDiffFit 712 1536 17851 18177 326 sdbcs 
mDiffFit 566 1536 18355 18644 289 sdbcs 
mDiffFit 226 1536 17510 17865 355 sdbcs 
mDiffFit 560 1536 18409 18811 402 sdbcs 
mDiffFit 111 1536 18718 19104 386 sdbcs 
mDiffFit 725 1536 18491 18808 317 sdbcs 
mDiffFit 184 1536 17830 18475 645 sdbcs 
mDiffFit 490 1536 18492 19050 558 sdbcs 
mDiffFit 485 1536 17695 18202 507 sdbcs 
mDiffFit 175 1536 17872 18501 629 sdbcs 
mDiffFit 126 1536 17365 18050 685 sdbcs 
mDiffFit 371 1536 17990 18354 364 sdbcs 
mDiffFit 481 1536 18349 18672 323 sdbcs 
mDiffFit 221 1536 17063 17578 515 sdbcs 
mDiffFit 192 1536 17658 18315 657 sdbcs 
mDiffFit 563 1536 17415 17876 461 sdbcs 
mDiffFit 713 1536 18584 18828 244 sdbcs 
mDiffFit 700 1536 17886 18910 1024 sdbcs 
mDiffFit 359 1536 18118 18750 632 sdbcs 
mDiffFit 107 1536 18647 18974 327 sdbcs 
mDiffFit 258 1536 18520 19195 675 sdbcs 
mDiffFit 801 1536 18174 19113 939 sdbcs 
mDiffFit 726 1536 18160 18423 263 sdbcs 
mDiffFit 871 1536 18670 18951 281 sdbcs 
mDiffFit 140 1536 17800 18122 322 sdbcs 
mDiffFit 774 1536 18314 18637 323 sdbcs 
mDiffFit 55 1536 17426 17938 512 sdbcs 
mDiffFit 694 1536 17421 17795 374 sdbcs 
mDiffFit 195 1536 18457 18757 300 sdbcs 
mDiffFit 805 1536 18247 18593 346 sdbcs 
mDiffFit 550 1536 19695 20010 315 sdbcs 
mDiffFit 122 1536 17352 17697 345 sdbcs 
mDiffFit 443 1536 17032 17489 457 sdbcs 
mDiffFit 795 1536 18316 18574 258 sdbcs 
mDiffFit 68 1536 17002 17481 479 sdbcs 
mDiffFit 732 1536 18521 19165 644 sdbcs 
mDiffFit 153 1536 18302 18637 335 sdbcs 
mDiffFit 447 1536 18300 18582 282 sdbcs 
mDiffFit 453 1536 17709 18045 336 sdbcs 
mDiffFit 193 1536 17809 18549 740 sdbcs 
mDiffFit 689 1536 18317 19011 694 sdbcs 
mDiffFit 512 1536 18184 18804 620 sdbcs 
mDiffFit 224 1536 17355 17912 557 sdbcs 
mDiffFit 705 1536 18166 18815 649 sdbcs 
mDiffFit 838 1536 18597 18898 301 sdbcs 
mDiffFit 849 1536 18664 19280 616 sdbcs 
mDiffFit 569 1536 18350 18657 307 sdbcs 
mDiffFit 373 1536 17949 18237 288 sdbcs 
mDiffFit 364 1536 16952 17604 652 sdbcs 
mDiffFit 846 1536 18685 18957 272 sdbcs 
mDiffFit 162 1536 18311 18574 263 sdbcs 
mDiffFit 842 1536 18607 18884 277 sdbcs 
mDiffFit 533 1536 18599 19317 718 sdbcs 
mDiffFit 120 1536 18288 18570 282 sdbcs 
mDiffFit 66 1536 17922 18573 651 sdbcs 
mDiffFit 541 1536 17854 18226 372 sdbcs 
mDiffFit 370 1536 17893 18252 359 sdbcs 
mDiffFit 868 1536 18658 18994 336 sdbcs 
mDiffFit 519 1536 18426 18824 398 sdbcs 
mDiffFit 430 1536 17680 18022 342 sdbcs 
mDiffFit 101 1536 17511 17819 308 sdbcs 
mDiffFit 129 1536 17677 18313 636 sdbcs 
mDiffFit 369 1536 17880 18554 674 sdbcs 
mDiffFit 152 1536 17901 18203 302 sdbcs 
mDiffFit 710 1536 18026 18347 321 sdbcs 
mDiffFit 772 1536 17703 17963 260 sdbcs 
mDiffFit 97 1536 16925 17315 390 sdbcs 
mDiffFit 526 1536 18351 18629 278 sdbcs 
mDiffFit 829 1536 17989 18771 782 sdbcs 
mDiffFit 473 1536 17634 18224 590 sdbcs 
mDiffFit 870 1536 18662 19141 479 sdbcs 
mDiffFit 807 1536 17007 17516 509 sdbcs 
mDiffFit 812 1536 17735 18056 321 sdbcs 
mDiffFit 748 1536 17497 17851 354 sdbcs 
mDiffFit 480 1536 17566 18129 563 sdbcs 
mDiffFit 80 1536 17083 17497 414 sdbcs 
mDiffFit 395 1536 19699 20405 706 sdbcs 
mDiffFit 520 1536 17509 17808 299 sdbcs 
mDiffFit 202 1536 17350 17832 482 sdbcs 
mDiffFit 556 1536 17949 18571 622 sdbcs 
mDiffFit 471 1536 18356 18642 286 sdbcs 
mDiffFit 532 1536 18595 19271 676 sdbcs 
mDiffFit 686 1536 18648 18955 307 sdbcs 
mDiffFit 474 1536 17595 17975 380 sdbcs 
mDiffFit 407 1536 18132 18723 591 sdbcs 
mDiffFit 542 1536 17855 18133 278 sdbcs 
mDiffFit 567 1536 17880 18653 773 sdbcs 
mDiffFit 877 1536 18601 19000 399 sdbcs 
mDiffFit 260 1536 17879 18294 415 sdbcs 
mDiffFit 426 1536 17675 18064 389 sdbcs 
mDiffFit 679 1536 17468 17813 345 sdbcs 
mDiffFit 844 1536 17926 18248 322 sdbcs 
mDiffFit 747 1536 18486 18757 271 sdbcs 
mDiffFit 741 1536 18256 18955 699 sdbcs 
mDiffFit 236 1536 17780 18128 348 sdbcs 
mDiffFit 261 1536 18457 19106 649 sdbcs 
mDiffFit 143 1536 18429 18714 285 sdbcs 
mDiffFit 553 1536 19713 19990 277 sdbcs 
mDiffFit 779 1536 16952 17778 826 sdbcs 
mDiffFit 246 1536 18544 18805 261 sdbcs 
mDiffFit 113 1536 17420 17802 382 sdbcs 
mDiffFit 183 1536 17431 17992 561 sdbcs 
mDiffFit 181 1536 17454 17830 376 sdbcs 
mDiffFit 864 1536 18454 18773 319 sdbcs 
mDiffFit 462 1536 18519 19022 503 sdbcs 
mDiffFit 51 1536 17905 18249 344 sdbcs 
mDiffFit 201 1536 18296 18994 698 sdbcs 
mDiffFit 735 1536 18570 18878 308 sdbcs 
mDiffFit 708 1536 17960 18657 697 sdbcs 
mDiffFit 855 1536 18546 19225 679 sdbcs 
mDiffFit 883 1536 18647 18986 339 sdbcs 
mDiffFit 790 1536 17859 18178 319 sdbcs 
mDiffFit 168 1536 16950 17713 763 sdbcs 
mDiffFit 751 1536 17801 18502 701 sdbcs 
mDiffFit 59 1536 16791 17173 382 sdbcs 
mDiffFit 572 1536 18530 19044 514 sdbcs 
mDiffFit 360 1536 16906 17454 548 sdbcs 
mDiffFit 819 1536 17940 18184 244 sdbcs 
mDiffFit 262 1536 17961 18291 330 sdbcs 
mDiffFit 551 1536 17769 18069 300 sdbcs 
mDiffFit 494 1536 17017 17463 446 sdbcs 
mDiffFit 76 1536 18651 18944 293 sdbcs 
mDiffFit 438 1536 18306 18621 315 sdbcs 
mDiffFit 718 1536 18259 18536 277 sdbcs 
mDiffFit 832 1536 18549 19153 604 sdbcs 
mDiffFit 416 1536 17411 17969 558 sdbcs 
mDiffFit 749 1536 18172 18560 388 sdbcs 
mDiffFit 529 1536 18343 18657 314 sdbcs 
mDiffFit 45 1536 17978 18330 352 sdbcs 
mDiffFit 384 1536 18022 18327 305 sdbcs 
mDiffFit 836 1536 18108 18746 638 sdbcs 
mDiffFit 186 1536 17367 17858 491 sdbcs 
mDiffFit 463 1536 18294 18562 268 sdbcs 
mDiffFit 71 1536 18449 18706 257 sdbcs 
mDiffFit 389 1536 18520 19217 697 sdbcs 
mDiffFit 86 1536 17116 17527 411 sdbcs 
mDiffFit 692 1536 18101 18449 348 sdbcs 
mDiffFit 757 1536 18007 18389 382 sdbcs 
mDiffFit 132 1536 17722 18721 999 sdbcs 
mDiffFit 209 1536 17292 17893 601 sdbcs 
mDiffFit 685 1536 18608 18974 366 sdbcs 
mDiffFit 208 1536 18532 18874 342 sdbcs 
mDiffFit 47 1536 17969 18246 277 sdbcs 
mDiffFit 366 1536 18419 18623 204 sdbcs 
mDiffFit 229 1536 17854 18576 722 sdbcs 
mDiffFit 84 1536 17114 17479 365 sdbcs 
mDiffFit 733 1536 18513 19189 676 sdbcs 
mDiffFit 867 1536 19328 19867 539 sdbcs 
mDiffFit 414 1536 17602 17985 383 sdbcs 
mDiffFit 138 1536 17875 18219 344 sdbcs 
mDiffFit 535 1536 18665 19044 379 sdbcs 
mDiffFit 508 1536 17507 17858 351 sdbcs 
mDiffFit 719 1536 18492 18775 283 sdbcs 
mDiffFit 682 1536 17477 17807 330 sdbcs 
mDiffFit 118 1536 17970 18239 269 sdbcs 
mDiffFit 375 1536 17072 17489 417 sdbcs 
mDiffFit 476 1536 17622 18075 453 sdbcs 
mDiffFit 460 1536 18403 18770 367 sdbcs 
mDiffFit 489 1536 17603 17940 337 sdbcs 
mDiffFit 850 1536 18177 18524 347 sdbcs 
mDiffFit 187 1536 17874 18194 320 sdbcs 
mDiffFit 760 1536 18099 18752 653 sdbcs 
mDiffFit 477 1536 17973 18646 673 sdbcs 
mDiffFit 811 1536 18397 18681 284 sdbcs 
mDiffFit 114 1536 17062 17556 494 sdbcs 
