task_id,task_count,all_tasks_count,task_type,min_size_in,max_size_in,avg_size_in,count_in,sum_in,min_size_out,max_size_out,avg_size_out,count_out,sum_out,exec_file_size
mDiffFit_516,654,934,1,277,4144320,3312055.4,5,16560277,266,266,266.0,1,266,746640
mBackground_108,132,934,4,2476,4135680,2070293.0,4,8281172,4135680,4135680,4135680.0,2,8271360,5793368
mDiffFit_8,654,934,1,277,4152960,3318967.4,5,16594837,261,261,261.0,1,261,746640
mProject_30,132,934,0,277,1535622,767949.5,2,1535899,4152960,4152960,4152960.0,2,8305920,5930728
mBackground_20,132,934,4,2476,4144320,2074613.0,4,8298452,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_59,654,934,1,277,4144320,3315511.4,5,16577557,264,264,264.0,1,264,746640
mBackground_15,132,934,4,2476,4144320,2074613.0,4,8298452,4144320,4144320,4144320.0,2,8288640,5793368
mProject_100,132,934,0,277,1431187,715732.0,2,1431464,4144320,4144320,4144320.0,2,8288640,5930728
mDiffFit_126,654,934,1,277,4152960,3322423.4,5,16612117,265,265,265.0,1,265,746640
mDiffFit_518,654,934,1,277,4144320,3312055.4,5,16560277,265,265,265.0,1,265,746640
mProject_44,132,934,0,277,1540269,770273.0,2,1540546,4152960,4152960,4152960.0,2,8305920,5930728
mProject_31,132,934,0,277,1537745,769011.0,2,1538022,4144320,4144320,4144320.0,2,8288640,5930728
mBackground_106,132,934,4,2476,4144320,2074613.0,4,8298452,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_210,654,934,1,277,4144320,3315511.4,5,16577557,270,270,270.0,1,270,746640
mDiffFit_319,654,934,1,277,4161600,3329335.4,5,16646677,262,262,262.0,1,262,746640
mBackground_86,132,934,4,2476,4161600,2083253.0,4,8333012,4161600,4161600,4161600.0,2,8323200,5793368
mDiffFit_578,654,934,1,277,4144320,3315511.4,5,16577557,266,266,266.0,1,266,746640
mDiffFit_87,654,934,1,277,4144320,3315511.4,5,16577557,265,265,265.0,1,265,746640
mDiffFit_581,654,934,1,277,4144320,3315511.4,5,16577557,259,259,259.0,1,259,746640
