task_id,task_count,all_tasks_count,task_type,min_size_in,max_size_in,avg_size_in,count_in,sum_in,min_size_out,max_size_out,avg_size_out,count_out,sum_out,exec_file_size
mDiffFit_8,198,310,1,277,4152960,3318967.4,5,16594837,263,263,263.0,1,263,746640
mProject_30,48,310,0,277,1469047,734662.0,2,1469324,4161600,4161600,4161600.0,2,8323200,5930728
mBackground_20,48,310,4,936,4161600,2081755.0,4,8327020,4161600,4161600,4161600.0,2,8323200,5793368
mDiffFit_59,198,310,1,277,4152960,3322423.4,5,16612117,266,266,266.0,1,266,746640
mBackground_15,48,310,4,936,4144320,2073115.0,4,8292460,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_126,198,310,1,277,4161600,3329335.4,5,16646677,267,267,267.0,1,267,746640
mProject_44,48,310,0,277,1471563,735920.0,2,1471840,4144320,4144320,4144320.0,2,8288640,5930728
mProject_31,48,310,0,277,1469719,734998.0,2,1469996,4170240,4170240,4170240.0,2,8340480,5930728
mDiffFit_87,198,310,1,277,4161600,3329335.4,5,16646677,265,265,265.0,1,265,746640
mDiffFit_183,198,310,1,277,4144320,3315511.4,5,16577557,267,267,267.0,1,267,746640
mDiffFit_182,198,310,1,277,4144320,3315511.4,5,16577557,267,267,267.0,1,267,746640
mProject_38,48,310,0,277,1417782,709029.5,2,1418059,4135680,4135680,4135680.0,2,8271360,5930728
mBackground_38,48,310,4,936,4135680,2068795.0,4,8275180,4135680,4135680,4135680.0,2,8271360,5793368
mDiffFit_139,198,310,1,277,4144320,3315511.4,5,16577557,262,262,262.0,1,262,746640
mBackground_42,48,310,4,936,4144320,2073115.0,4,8292460,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_41,198,310,1,277,4152960,3318967.4,5,16594837,258,258,258.0,1,258,746640
mBackground_47,48,310,4,936,4144320,2073115.0,4,8292460,4144320,4144320,4144320.0,2,8288640,5793368
mBgModel_1,3,310,3,6572,13937,10254.5,2,20509,936,936,936.0,1,936,921416
mProject_33,48,310,0,277,1467205,733741.0,2,1467482,4144320,4144320,4144320.0,2,8288640,5930728
mDiffFit_22,198,310,1,277,4152960,3318967.4,5,16594837,266,266,266.0,1,266,746640
mProject_41,48,310,0,277,1468954,734615.5,2,1469231,4144320,4144320,4144320.0,2,8288640,5930728
mBackground_31,48,310,4,936,4170240,2086075.0,4,8344300,4170240,4170240,4170240.0,2,8340480,5793368
mAdd_3,3,310,6,273,4144320,3898742.970588235,34,132557261,2335680,2335680,2335680.0,2,4671360,5827296
mBackground_40,48,310,4,936,4144320,2073115.0,4,8292460,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_138,198,310,1,277,4144320,3312055.4,5,16560277,272,272,272.0,1,272,746640
mDiffFit_131,198,310,1,277,4170240,3332791.4,5,16663957,263,263,263.0,1,263,746640
mDiffFit_34,198,310,1,277,4152960,3318967.4,5,16594837,257,257,257.0,1,257,746640
mProject_32,48,310,0,277,1471780,736028.5,2,1472057,4161600,4161600,4161600.0,2,8323200,5930728
mDiffFit_101,198,310,1,277,4161600,3329335.4,5,16646677,265,265,265.0,1,265,746640
mDiffFit_37,198,310,1,277,4144320,3315511.4,5,16577557,261,261,261.0,1,261,746640
mDiffFit_155,198,310,1,277,4144320,3312055.4,5,16560277,263,263,263.0,1,263,746640
mDiffFit_25,198,310,1,277,4152960,3322423.4,5,16612117,267,267,267.0,1,267,746640
mDiffFit_110,198,310,1,277,4161600,3329335.4,5,16646677,266,266,266.0,1,266,746640
mDiffFit_169,198,310,1,277,4144320,3315511.4,5,16577557,265,265,265.0,1,265,746640
mDiffFit_187,198,310,1,277,4144320,3315511.4,5,16577557,266,266,266.0,1,266,746640
