task_id,task_count,all_tasks_count,task_type,min_size_in,max_size_in,avg_size_in,count_in,sum_in,min_size_out,max_size_out,avg_size_out,count_out,sum_out,exec_file_size
mDiffFit_41,423,619,1,277,4152960,3318967.4,5,16594837,269,269,269.0,1,269,746640
mProject_74,90,619,0,277,1466790,733533.5,2,1467067,4144320,4144320,4144320.0,2,8288640,5930728
mDiffFit_277,423,619,1,277,4170240,3332791.4,5,16663957,263,263,263.0,1,263,746640
mBackground_47,90,619,4,1706,4161600,2082504.0,4,8330016,4161600,4161600,4161600.0,2,8323200,5793368
mBgModel_1,3,619,3,11668,29537,20602.5,2,41205,1706,1706,1706.0,1,1706,921416
mDiffFit_227,423,619,1,277,4161600,3329335.4,5,16646677,257,257,257.0,1,257,746640
mProject_33,90,619,0,277,1471190,735733.5,2,1471467,4161600,4161600,4161600.0,2,8323200,5930728
mDiffFit_22,423,619,1,277,4152960,3318967.4,5,16594837,256,256,256.0,1,256,746640
mProject_41,90,619,0,277,1467905,734091.0,2,1468182,4161600,4161600,4161600.0,2,8323200,5930728
mBackground_31,90,619,4,1706,4161600,2082504.0,4,8330016,4161600,4161600,4161600.0,2,8323200,5793368
mAdd_3,3,619,6,273,4152960,4009189.7580645164,62,248569765,6482880,6482880,6482880.0,2,12965760,5827296
mBackground_40,90,619,4,1706,4161600,2082504.0,4,8330016,4161600,4161600,4161600.0,2,8323200,5793368
mDiffFit_410,423,619,1,277,4144320,3315511.4,5,16577557,274,274,274.0,1,274,746640
mProject_65,90,619,0,277,1468091,734184.0,2,1468368,4144320,4144320,4144320.0,2,8288640,5930728
mDiffFit_328,423,619,1,277,4144320,3312055.4,5,16560277,263,263,263.0,1,263,746640
mProject_58,90,619,0,277,1465566,732921.5,2,1465843,4161600,4161600,4161600.0,2,8323200,5930728
mDiffFit_213,423,619,1,277,4161600,3329335.4,5,16646677,267,267,267.0,1,267,746640
mDiffFit_138,423,619,1,277,4152960,3322423.4,5,16612117,261,261,261.0,1,261,746640
mDiffFit_131,423,619,1,277,4152960,3322423.4,5,16612117,266,266,266.0,1,266,746640
mDiffFit_343,423,619,1,277,4144320,3315511.4,5,16577557,260,260,260.0,1,260,746640
mDiffFit_34,423,619,1,277,4152960,3318967.4,5,16594837,268,268,268.0,1,268,746640
mDiffFit_253,423,619,1,277,4161600,3329335.4,5,16646677,270,270,270.0,1,270,746640
mProject_32,90,619,0,277,1470071,735174.0,2,1470348,4161600,4161600,4161600.0,2,8323200,5930728
mDiffFit_101,423,619,1,277,4152960,3318967.4,5,16594837,260,260,260.0,1,260,746640
mDiffFit_229,423,619,1,277,4161600,3329335.4,5,16646677,270,270,270.0,1,270,746640
mDiffFit_330,423,619,1,277,4144320,3312055.4,5,16560277,262,262,262.0,1,262,746640
mDiffFit_37,423,619,1,277,4152960,3322423.4,5,16612117,264,264,264.0,1,264,746640
mDiffFit_155,423,619,1,277,4161600,3329335.4,5,16646677,266,266,266.0,1,266,746640
mDiffFit_25,423,619,1,277,4152960,3318967.4,5,16594837,263,263,263.0,1,263,746640
mDiffFit_402,423,619,1,277,4135680,3308599.4,5,16542997,274,274,274.0,1,274,746640
mDiffFit_110,423,619,1,277,4152960,3318967.4,5,16594837,268,268,268.0,1,268,746640
mDiffFit_395,423,619,1,277,4144320,3315511.4,5,16577557,272,272,272.0,1,272,746640
mDiffFit_169,423,619,1,277,4161600,3329335.4,5,16646677,261,261,261.0,1,261,746640
mDiffFit_220,423,619,1,277,4161600,3329335.4,5,16646677,266,266,266.0,1,266,746640
mDiffFit_297,423,619,1,277,4144320,3315511.4,5,16577557,271,271,271.0,1,271,746640
mBackground_71,90,619,4,1706,4144320,2073864.0,4,8295456,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_278,423,619,1,277,4170240,3332791.4,5,16663957,266,266,266.0,1,266,746640
mDiffFit_187,423,619,1,277,4161600,3329335.4,5,16646677,262,262,262.0,1,262,746640
mDiffFit_38,423,619,1,277,4152960,3318967.4,5,16594837,273,273,273.0,1,273,746640
mDiffFit_134,423,619,1,277,4152960,3322423.4,5,16612117,267,267,267.0,1,267,746640
mProject_60,90,619,0,277,1476260,738268.5,2,1476537,4161600,4161600,4161600.0,2,8323200,5930728
mBackground_54,90,619,4,1706,4161600,2082504.0,4,8330016,4161600,4161600,4161600.0,2,8323200,5793368
mProject_15,90,619,0,277,1532204,766240.5,2,1532481,4144320,4144320,4144320.0,2,8288640,5930728
mBackground_6,90,619,4,1706,4144320,2073864.0,4,8295456,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_393,423,619,1,277,4144320,3315511.4,5,16577557,272,272,272.0,1,272,746640
mDiffFit_162,423,619,1,277,4161600,3329335.4,5,16646677,261,261,261.0,1,261,746640
mProject_55,90,619,0,277,1469719,734998.0,2,1469996,4170240,4170240,4170240.0,2,8340480,5930728
mBackground_70,90,619,4,1706,4144320,2073864.0,4,8295456,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_301,423,619,1,277,4152960,3318967.4,5,16594837,269,269,269.0,1,269,746640
