task id resource start end time type
mProject 316 1536 543 16902 16411 sdbcs 
mProject 349 1536 596 16625 16434 sdbcs 
mProject 351 1536 573 16843 16431 sdbcs 
mProject 629 1536 603 16917 16434 sdbcs 
mProject 654 1536 663 17184 16411 sdbcs 
mProject 24 1536 472 16815 16434 sdbcs 
mProject 28 1536 511 16894 16441 sdbcs 
mProject 40 1536 539 16868 16443 sdbcs 
mProject 630 1536 633 17057 16431 sdbcs 
mProject 44 1536 569 16864 16412 sdbcs 
mProject 340 1536 616 17097 16432 sdbcs 
mProject 16 1536 500 16725 16433 sdbcs 
mProject 663 1536 645 17021 16429 sdbcs 
mProject 624 1536 606 17021 16413 sdbcs 
mProject 651 1536 655 16637 16428 sdbcs 
mProject 352 1536 635 17355 16429 sdbcs 
mProject 319 1536 576 16934 16432 sdbcs 
mProject 350 1536 567 16978 16434 sdbcs 
mProject 42 1536 540 16773 16432 sdbcs 
mProject 339 1536 603 17215 16431 sdbcs 
mProject 37 1536 580 17075 16432 sdbcs 
mProject 321 1536 553 16945 16411 sdbcs 
mProject 354 1536 609 16765 16434 sdbcs 
mProject 658 1536 667 16870 16434 sdbcs 
mProject 318 1536 550 16753 16411 sdbcs 
mProject 23 1536 488 16735 16427 sdbcs 
mProject 4 1536 398 16392 16434 sdbcs 
mProject 6 1536 397 16965 16413 sdbcs 
mProject 34 1536 488 16593 16431 sdbcs 
mProject 337 1536 541 17148 16445 sdbcs 
mProject 627 1536 644 17068 16413 sdbcs 
mProject 26 1536 483 16854 16433 sdbcs 
mProject 631 1536 634 17134 16412 sdbcs 
mProject 33 1536 481 16990 16433 sdbcs 
mProject 656 1536 664 17229 16442 sdbcs 
mProject 312 1536 556 16748 16412 sdbcs 
mProject 322 1536 590 16988 16433 sdbcs 
mProject 10 1536 463 16809 16413 sdbcs 
mProject 31 1536 538 16998 16431 sdbcs 
mProject 332 1536 559 16734 16413 sdbcs 
mProject 638 1536 615 16551 16413 sdbcs 
mProject 27 1536 520 16939 16434 sdbcs 
mProject 661 1536 688 16927 16446 sdbcs 
mProject 314 1536 469 16612 16410 sdbcs 
mProject 36 1536 529 17017 16414 sdbcs 
mProject 636 1536 640 16965 16412 sdbcs 
mProject 313 1536 527 16903 16431 sdbcs 
mProject 665 1536 691 17126 16442 sdbcs 
mProject 1 1536 415 16887 16414 sdbcs 
mProject 39 1536 506 16878 16434 sdbcs 
mProject 317 1536 504 16936 16431 sdbcs 
mProject 633 1536 644 16826 16412 sdbcs 
mProject 9 1536 507 17095 16410 sdbcs 
mProject 22 1536 477 16741 16414 sdbcs 
mProject 338 1536 603 16942 16413 sdbcs 
mProject 327 1536 539 16914 16415 sdbcs 
mProject 655 1536 666 16690 16433 sdbcs 
mProject 8 1536 514 16987 16410 sdbcs 
mProject 3 1536 432 16819 16413 sdbcs 
mProject 29 1536 505 17067 16412 sdbcs 
mProject 641 1536 656 16953 16431 sdbcs 
mProject 25 1536 483 16621 16413 sdbcs 
mProject 637 1536 643 16841 16411 sdbcs 
mProject 660 1536 676 16972 16433 sdbcs 
mProject 346 1536 557 17042 16433 sdbcs 
mProject 662 1536 676 16970 16412 sdbcs 
mProject 13 1536 456 16882 16411 sdbcs 
mProject 642 1536 669 16992 16442 sdbcs 
mDiffFit 754 1536 19471 19786 463 sdbcs 
mDiffFit 474 1536 17124 17471 519 sdbcs 
mDiffFit 121 1536 19590 19869 477 sdbcs 
mDiffFit 532 1536 19104 19692 491 sdbcs 
mDiffFit 516 1536 19554 19860 470 sdbcs 
mDiffFit 228 1536 16955 17299 519 sdbcs 
mDiffFit 439 1536 19453 19725 505 sdbcs 
mDiffFit 360 1536 18382 18817 505 sdbcs 
mDiffFit 191 1536 18071 18771 505 sdbcs 
mDiffFit 389 1536 19138 19549 484 sdbcs 
mDiffFit 536 1536 19671 19975 512 sdbcs 
mDiffFit 137 1536 18984 19298 540 sdbcs 
mDiffFit 879 1536 18854 19183 491 sdbcs 
mDiffFit 225 1536 17558 17873 484 sdbcs 
mDiffFit 198 1536 18553 18800 484 sdbcs 
mDiffFit 223 1536 18960 19265 491 sdbcs 
mDiffFit 384 1536 18630 18899 470 sdbcs 
mDiffFit 753 1536 20133 20421 449 sdbcs 
mDiffFit 768 1536 19090 19363 449 sdbcs 
mDiffFit 727 1536 19376 19658 491 sdbcs 
mDiffFit 526 1536 18993 19269 540 sdbcs 
mDiffFit 864 1536 18731 19045 491 sdbcs 
mDiffFit 406 1536 19242 19482 477 sdbcs 
mDiffFit 52 1536 16546 16950 477 sdbcs 
mDiffFit 255 1536 18725 19081 462 sdbcs 
mDiffFit 106 1536 17675 17985 428 sdbcs 
mDiffFit 498 1536 18466 18766 491 sdbcs 
mDiffFit 366 1536 18064 18364 484 sdbcs 
mDiffFit 67 1536 19276 19957 470 sdbcs 
mDiffFit 877 1536 19136 19535 456 sdbcs 
mDiffFit 56 1536 16684 16987 470 sdbcs 
mDiffFit 201 1536 19706 20412 484 sdbcs 
mDiffFit 839 1536 16921 17246 477 sdbcs 
mDiffFit 164 1536 17145 17487 477 sdbcs 
mDiffFit 148 1536 17875 18193 442 sdbcs 
mDiffFit 247 1536 19203 19841 477 sdbcs 
mDiffFit 518 1536 19180 19461 505 sdbcs 
mDiffFit 470 1536 19265 19589 491 sdbcs 
mDiffFit 867 1536 18534 18865 435 sdbcs 
mDiffFit 125 1536 19395 19754 456 sdbcs 
mDiffFit 568 1536 17586 18017 477 sdbcs 
mDiffFit 112 1536 18960 19745 449 sdbcs 
mDiffFit 668 1536 18323 18743 455 sdbcs 
mDiffFit 107 1536 17719 18053 484 sdbcs 
mDiffFit 79 1536 16966 17251 449 sdbcs 
mDiffFit 564 1536 18757 19026 463 sdbcs 
mDiffFit 128 1536 19557 19895 435 sdbcs 
mDiffFit 230 1536 18888 19146 463 sdbcs 
mDiffFit 778 1536 18221 18537 470 sdbcs 
mDiffFit 511 1536 19364 19689 449 sdbcs 
mDiffFit 720 1536 19853 20148 414 sdbcs 
mDiffFit 183 1536 18174 18549 442 sdbcs 
