task id resource start end time type
mDiffFit 754 1536 19471 19786 315 sdbcs 
mDiffFit 474 1536 17124 17471 347 sdbcs 
mDiffFit 121 1536 19590 19869 279 sdbcs 
mDiffFit 532 1536 19104 19692 588 sdbcs 
mDiffFit 516 1536 19554 19860 306 sdbcs 
mDiffFit 228 1536 16955 17299 344 sdbcs 
mDiffFit 439 1536 19453 19725 272 sdbcs 
mDiffFit 360 1536 18382 18817 435 sdbcs 
mDiffFit 191 1536 18071 18771 700 sdbcs 
mDiffFit 389 1536 19138 19549 411 sdbcs 
mDiffFit 536 1536 19671 19975 304 sdbcs 
mDiffFit 137 1536 18984 19298 314 sdbcs 
mDiffFit 879 1536 18854 19183 329 sdbcs 
mDiffFit 225 1536 17558 17873 315 sdbcs 
mDiffFit 198 1536 18553 18800 247 sdbcs 
mDiffFit 223 1536 18960 19265 305 sdbcs 
mDiffFit 384 1536 18630 18899 269 sdbcs 
mDiffFit 753 1536 20133 20421 288 sdbcs 
mDiffFit 768 1536 19090 19363 273 sdbcs 
mDiffFit 727 1536 19376 19658 282 sdbcs 
mDiffFit 526 1536 18993 19269 276 sdbcs 
mDiffFit 864 1536 18731 19045 314 sdbcs 
mDiffFit 406 1536 19242 19482 240 sdbcs 
mDiffFit 52 1536 16546 16950 404 sdbcs 
mDiffFit 255 1536 18725 19081 356 sdbcs 
mDiffFit 106 1536 17675 17985 310 sdbcs 
mDiffFit 498 1536 18466 18766 300 sdbcs 
mDiffFit 366 1536 18064 18364 300 sdbcs 
mDiffFit 67 1536 19276 19957 681 sdbcs 
mDiffFit 877 1536 19136 19535 399 sdbcs 
mDiffFit 56 1536 16684 16987 303 sdbcs 
mDiffFit 201 1536 19706 20412 706 sdbcs 
mDiffFit 839 1536 16921 17246 325 sdbcs 
mDiffFit 164 1536 17145 17487 342 sdbcs 
mDiffFit 148 1536 17875 18193 318 sdbcs 
mDiffFit 247 1536 19203 19841 638 sdbcs 
mDiffFit 518 1536 19180 19461 281 sdbcs 
mDiffFit 470 1536 19265 19589 324 sdbcs 
mDiffFit 867 1536 18534 18865 331 sdbcs 
mDiffFit 125 1536 19395 19754 359 sdbcs 
mDiffFit 568 1536 17586 18017 431 sdbcs 
mDiffFit 112 1536 18960 19745 785 sdbcs 
mDiffFit 668 1536 18323 18743 420 sdbcs 
mDiffFit 107 1536 17719 18053 334 sdbcs 
mDiffFit 79 1536 16966 17251 285 sdbcs 
mDiffFit 564 1536 18757 19026 269 sdbcs 
mDiffFit 128 1536 19557 19895 338 sdbcs 
mDiffFit 230 1536 18888 19146 258 sdbcs 
mDiffFit 778 1536 18221 18537 316 sdbcs 
mDiffFit 511 1536 19364 19689 325 sdbcs 
mDiffFit 720 1536 19853 20148 295 sdbcs 
mDiffFit 183 1536 18174 18549 375 sdbcs 
mDiffFit 463 1536 19655 19929 274 sdbcs 
mDiffFit 197 1536 18596 18904 308 sdbcs 
mDiffFit 131 1536 18157 18498 341 sdbcs 
mDiffFit 699 1536 19448 19765 317 sdbcs 
mDiffFit 726 1536 19110 19386 276 sdbcs 
mDiffFit 714 1536 19560 19887 327 sdbcs 
mDiffFit 379 1536 18989 19296 307 sdbcs 
mDiffFit 717 1536 19517 19935 418 sdbcs 
mDiffFit 811 1536 19557 19865 308 sdbcs 
mDiffFit 92 1536 19308 19591 283 sdbcs 
mDiffFit 758 1536 19246 19924 678 sdbcs 
mDiffFit 242 1536 18899 19539 640 sdbcs 
mDiffFit 556 1536 18636 18886 250 sdbcs 
mDiffFit 724 1536 19542 19816 274 sdbcs 
mDiffFit 539 1536 19840 20171 331 sdbcs 
mDiffFit 250 1536 18223 18688 465 sdbcs 
mDiffFit 509 1536 19502 19828 326 sdbcs 
mDiffFit 573 1536 19073 19397 324 sdbcs 
mDiffFit 850 1536 19514 19912 398 sdbcs 
mDiffFit 827 1536 19523 19857 334 sdbcs 
mDiffFit 378 1536 17729 18083 354 sdbcs 
mDiffFit 418 1536 19377 19753 376 sdbcs 
mDiffFit 785 1536 18275 18673 398 sdbcs 
mDiffFit 693 1536 19636 19917 281 sdbcs 
mDiffFit 721 1536 19574 19884 310 sdbcs 
mDiffFit 192 1536 19726 20035 309 sdbcs 
mDiffFit 168 1536 17224 17951 727 sdbcs 
mDiffFit 884 1536 19777 20076 299 sdbcs 
mDiffFit 140 1536 18865 19181 316 sdbcs 
mDiffFit 561 1536 19192 19501 309 sdbcs 
mDiffFit 683 1536 19646 19993 347 sdbcs 
mDiffFit 417 1536 19207 19625 418 sdbcs 
mDiffFit 773 1536 17600 17847 247 sdbcs 
mDiffFit 126 1536 19459 20043 584 sdbcs 
mDiffFit 55 1536 16954 17308 354 sdbcs 
mDiffFit 162 1536 18280 18559 279 sdbcs 
mDiffFit 159 1536 19617 19910 293 sdbcs 
mDiffFit 188 1536 18698 19014 316 sdbcs 
mDiffFit 381 1536 17984 18381 397 sdbcs 
mDiffFit 435 1536 19280 19595 315 sdbcs 
mDiffFit 674 1536 19553 19853 300 sdbcs 
mDiffFit 415 1536 18859 19157 298 sdbcs 
mDiffFit 533 1536 19280 19983 703 sdbcs 
mDiffFit 401 1536 19109 19424 315 sdbcs 
mDiffFit 678 1536 18579 19182 603 sdbcs 
mDiffFit 167 1536 17114 17450 336 sdbcs 
mDiffFit 505 1536 19749 20104 355 sdbcs 
mDiffFit 53 1536 17678 18305 627 sdbcs 
mDiffFit 83 1536 17305 17664 359 sdbcs 
mDiffFit 407 1536 17357 17640 283 sdbcs 
mDiffFit 179 1536 19174 19602 428 sdbcs 
mDiffFit 535 1536 19701 20032 331 sdbcs 
mDiffFit 161 1536 18217 18552 335 sdbcs 
mDiffFit 437 1536 19415 20136 721 sdbcs 
mDiffFit 473 1536 18288 18640 352 sdbcs 
mDiffFit 781 1536 18277 18683 406 sdbcs 
mDiffFit 746 1536 19736 20032 296 sdbcs 
mDiffFit 708 1536 19434 19741 307 sdbcs 
mDiffFit 118 1536 19064 19390 326 sdbcs 
mDiffFit 765 1536 18199 18466 267 sdbcs 
mDiffFit 819 1536 20130 20414 284 sdbcs 
mDiffFit 739 1536 19141 19429 288 sdbcs 
mDiffFit 132 1536 18734 19321 587 sdbcs 
mDiffFit 176 1536 19019 19669 650 sdbcs 
mDiffFit 246 1536 19545 19825 280 sdbcs 
mDiffFit 734 1536 20098 20444 346 sdbcs 
mDiffFit 855 1536 19700 20303 603 sdbcs 
mDiffFit 65 1536 18906 19228 322 sdbcs 
mDiffFit 369 1536 19376 20131 755 sdbcs 
mDiffFit 184 1536 18594 18870 276 sdbcs 
mDiffFit 826 1536 20095 20399 304 sdbcs 
mDiffFit 670 1536 18232 18603 371 sdbcs 
mDiffFit 687 1536 19263 19529 266 sdbcs 
mDiffFit 377 1536 18285 18627 342 sdbcs 
mDiffFit 787 1536 17553 17894 341 sdbcs 
mDiffFit 127 1536 19462 19779 317 sdbcs 
mDiffFit 416 1536 19261 19590 329 sdbcs 
mDiffFit 487 1536 19223 19589 366 sdbcs 
mDiffFit 804 1536 19104 19393 289 sdbcs 
mDiffFit 64 1536 18799 19065 266 sdbcs 
mDiffFit 858 1536 19657 20028 371 sdbcs 
mDiffFit 194 1536 19265 19550 285 sdbcs 
mDiffFit 109 1536 18691 18983 292 sdbcs 
mDiffFit 396 1536 18960 19241 281 sdbcs 
mDiffFit 770 1536 18655 19001 346 sdbcs 
mDiffFit 562 1536 18960 19353 393 sdbcs 
mDiffFit 774 1536 16774 17118 344 sdbcs 
mDiffFit 560 1536 19142 19520 378 sdbcs 
mDiffFit 723 1536 19565 19912 347 sdbcs 
mDiffFit 114 1536 18974 19333 359 sdbcs 
mDiffFit 135 1536 18146 18469 323 sdbcs 
mDiffFit 376 1536 17835 18176 341 sdbcs 
mDiffFit 218 1536 18564 18862 298 sdbcs 
mDiffFit 235 1536 19177 19537 360 sdbcs 
mDiffFit 108 1536 17705 18002 297 sdbcs 
mDiffFit 795 1536 16834 17166 332 sdbcs 
mDiffFit 691 1536 19530 20258 728 sdbcs 
mDiffFit 676 1536 18590 18860 270 sdbcs 
mDiffFit 757 1536 20147 20442 295 sdbcs 
mDiffFit 453 1536 19049 19404 355 sdbcs 
mDiffFit 748 1536 19416 19731 315 sdbcs 
mDiffFit 882 1536 19130 19448 318 sdbcs 
mDiffFit 818 1536 19318 19601 283 sdbcs 
mDiffFit 851 1536 19515 19926 411 sdbcs 
mDiffFit 359 1536 18056 18321 265 sdbcs 
mDiffFit 433 1536 19342 19674 332 sdbcs 
mDiffFit 96 1536 18760 19021 261 sdbcs 
mDiffFit 434 1536 19300 19716 416 sdbcs 
mDiffFit 843 1536 18818 19071 253 sdbcs 
mDiffFit 215 1536 17280 17641 361 sdbcs 
mDiffFit 828 1536 17852 18214 362 sdbcs 
mDiffFit 234 1536 19052 19372 320 sdbcs 
mDiffFit 825 1536 20109 20399 290 sdbcs 
mDiffFit 834 1536 18576 18855 279 sdbcs 
mDiffFit 842 1536 18393 18728 335 sdbcs 
mDiffFit 718 1536 19748 19994 246 sdbcs 
mDiffFit 742 1536 19120 19402 282 sdbcs 
mDiffFit 875 1536 18402 18677 275 sdbcs 
mDiffFit 876 1536 19274 19619 345 sdbcs 
mDiffFit 101 1536 18857 19191 334 sdbcs 
mDiffFit 698 1536 19556 19860 304 sdbcs 
mDiffFit 91 1536 19661 19918 257 sdbcs 
mDiffFit 123 1536 19593 19912 319 sdbcs 
mDiffFit 873 1536 18895 19162 267 sdbcs 
mDiffFit 501 1536 19463 20161 698 sdbcs 
mDiffFit 542 1536 19681 20022 341 sdbcs 
mDiffFit 152 1536 17942 18249 307 sdbcs 
mDiffFit 160 1536 18036 18386 350 sdbcs 
mDiffFit 833 1536 19676 20009 333 sdbcs 
mDiffFit 438 1536 19603 19938 335 sdbcs 
mDiffFit 865 1536 19274 19619 345 sdbcs 
mDiffFit 812 1536 19051 19413 362 sdbcs 
mDiffFit 443 1536 19225 19495 270 sdbcs 
mDiffFit 209 1536 17315 17674 359 sdbcs 
mDiffFit 681 1536 19554 19815 261 sdbcs 
mDiffFit 362 1536 18205 18510 305 sdbcs 
mDiffFit 772 1536 18303 18583 280 sdbcs 
mDiffFit 253 1536 19359 19699 340 sdbcs 
mDiffFit 845 1536 18215 18581 366 sdbcs 
mDiffFit 146 1536 18475 18832 357 sdbcs 
mDiffFit 59 1536 16756 17108 352 sdbcs 
mDiffFit 688 1536 19756 20141 385 sdbcs 
mDiffFit 503 1536 19563 19874 311 sdbcs 
mDiffFit 75 1536 18605 18974 369 sdbcs 
mDiffFit 371 1536 19246 19541 295 sdbcs 
mDiffFit 507 1536 19228 19874 646 sdbcs 
mDiffFit 154 1536 19740 20055 315 sdbcs 
mDiffFit 466 1536 19264 19552 288 sdbcs 
mDiffFit 113 1536 19748 20083 335 sdbcs 
mDiffFit 522 1536 19556 19921 365 sdbcs 
mDiffFit 424 1536 18641 18994 353 sdbcs 
mDiffFit 447 1536 19432 19774 342 sdbcs 
mDiffFit 515 1536 18297 18602 305 sdbcs 
mDiffFit 382 1536 18448 18766 318 sdbcs 
mDiffFit 686 1536 19192 19514 322 sdbcs 
mDiffFit 87 1536 17951 18211 260 sdbcs 
mDiffFit 566 1536 19142 19477 335 sdbcs 
mDiffFit 214 1536 17416 17741 325 sdbcs 
mDiffFit 524 1536 19098 19389 291 sdbcs 
mDiffFit 66 1536 18647 18947 300 sdbcs 
mDiffFit 388 1536 18438 18743 305 sdbcs 
mDiffFit 85 1536 18726 19098 372 sdbcs 
mDiffFit 675 1536 18235 18559 324 sdbcs 
mDiffFit 848 1536 19351 19768 417 sdbcs 
mDiffFit 166 1536 17624 17924 300 sdbcs 
mDiffFit 373 1536 18345 18636 291 sdbcs 
mDiffFit 411 1536 17856 18133 277 sdbcs 
mDiffFit 738 1536 19147 19405 258 sdbcs 
mDiffFit 385 1536 17766 18056 290 sdbcs 
mDiffFit 690 1536 19211 19542 331 sdbcs 
mDiffFit 707 1536 19383 19661 278 sdbcs 
mDiffFit 251 1536 17447 17780 333 sdbcs 
mDiffFit 257 1536 18697 19017 320 sdbcs 
mDiffFit 442 1536 18972 19247 275 sdbcs 
mDiffFit 528 1536 19430 19716 286 sdbcs 
mDiffFit 182 1536 17624 17935 311 sdbcs 
mDiffFit 390 1536 18679 19022 343 sdbcs 
mDiffFit 788 1536 18275 18549 274 sdbcs 
mDiffFit 554 1536 19097 19443 346 sdbcs 
mDiffFit 207 1536 17559 17871 312 sdbcs 
mDiffFit 791 1536 17593 17927 334 sdbcs 
mDiffFit 425 1536 18637 19372 735 sdbcs 
mDiffFit 144 1536 18596 18898 302 sdbcs 
mDiffFit 387 1536 18445 19025 580 sdbcs 
mDiffFit 189 1536 18864 19181 317 sdbcs 
mDiffFit 837 1536 18263 18526 263 sdbcs 
mDiffFit 200 1536 19687 20020 333 sdbcs 
mDiffFit 95 1536 19625 19886 261 sdbcs 
mDiffFit 792 1536 18656 18917 261 sdbcs 
mDiffFit 793 1536 18576 18888 312 sdbcs 
mDiffFit 450 1536 18953 19299 346 sdbcs 
mDiffFit 471 1536 19928 20192 264 sdbcs 
mDiffFit 537 1536 19278 19573 295 sdbcs 
mDiffFit 414 1536 19271 19583 312 sdbcs 
mDiffFit 449 1536 19010 19316 306 sdbcs 
mDiffFit 559 1536 19166 19472 306 sdbcs 
mDiffFit 784 1536 18274 18593 319 sdbcs 
mDiffFit 835 1536 19043 19368 325 sdbcs 
mDiffFit 383 1536 18283 18570 287 sdbcs 
mDiffFit 767 1536 18424 19101 677 sdbcs 
mDiffFit 672 1536 18260 18622 362 sdbcs 
mDiffFit 814 1536 19145 19448 303 sdbcs 
mDiffFit 403 1536 18525 18812 287 sdbcs 
mDiffFit 860 1536 19806 20082 276 sdbcs 
mDiffFit 735 1536 18540 18926 386 sdbcs 
mDiffFit 763 1536 18461 18959 498 sdbcs 
mDiffFit 495 1536 19001 19291 290 sdbcs 
mDiffFit 692 1536 19054 19334 280 sdbcs 
mDiffFit 759 1536 19624 19922 298 sdbcs 
mDiffFit 810 1536 19162 19448 286 sdbcs 
mDiffFit 711 1536 19408 19735 327 sdbcs 
mDiffFit 193 1536 19369 19668 299 sdbcs 
mDiffFit 508 1536 19238 19544 306 sdbcs 
mDiffFit 571 1536 19930 20293 363 sdbcs 
mDiffFit 830 1536 18247 18537 290 sdbcs 
mDiffFit 237 1536 19466 19753 287 sdbcs 
mDiffFit 859 1536 19669 19914 245 sdbcs 
mDiffFit 722 1536 19562 19892 330 sdbcs 
mDiffFit 357 1536 17749 18123 374 sdbcs 
mDiffFit 520 1536 18355 18661 306 sdbcs 
mDiffFit 779 1536 18517 19119 602 sdbcs 
mDiffFit 254 1536 17095 17417 322 sdbcs 
mDiffFit 124 1536 19481 19775 294 sdbcs 
mDiffFit 239 1536 19344 19633 289 sdbcs 
mDiffFit 51 1536 18215 18546 331 sdbcs 
mDiffFit 427 1536 19475 19734 259 sdbcs 
mDiffFit 747 1536 19536 19868 332 sdbcs 
mDiffFit 76 1536 17674 18019 345 sdbcs 
mDiffFit 221 1536 17570 18008 438 sdbcs 
mDiffFit 684 1536 19274 19556 282 sdbcs 
mDiffFit 813 1536 19659 19953 294 sdbcs 
mDiffFit 689 1536 19229 19910 681 sdbcs 
mDiffFit 740 1536 19155 19511 356 sdbcs 
mDiffFit 567 1536 19305 19731 426 sdbcs 
mDiffFit 475 1536 18520 18800 280 sdbcs 
mDiffFit 150 1536 19391 19781 390 sdbcs 
mDiffFit 419 1536 19292 19580 288 sdbcs 
mDiffFit 460 1536 20001 20351 350 sdbcs 
mDiffFit 489 1536 19611 19878 267 sdbcs 
mDiffFit 467 1536 19309 19613 304 sdbcs 
mDiffFit 248 1536 18726 19077 351 sdbcs 
mDiffFit 262 1536 18159 18469 310 sdbcs 
mDiffFit 149 1536 18577 18940 363 sdbcs 
mDiffFit 181 1536 17049 17409 360 sdbcs 
mDiffFit 243 1536 18856 19144 288 sdbcs 
mDiffFit 177 1536 18775 19076 301 sdbcs 
mDiffFit 458 1536 19313 19636 323 sdbcs 
mDiffFit 840 1536 19556 19851 295 sdbcs 
mDiffFit 77 1536 19423 19741 318 sdbcs 
mDiffFit 863 1536 18935 19210 275 sdbcs 
mDiffFit 86 1536 17366 17726 360 sdbcs 
mDiffFit 71 1536 19620 19943 323 sdbcs 
mDiffFit 856 1536 19706 19994 288 sdbcs 
mDiffFit 165 1536 17304 17626 322 sdbcs 
mDiffFit 732 1536 19081 19365 284 sdbcs 
mDiffFit 696 1536 19054 19331 277 sdbcs 
mDiffFit 249 1536 19633 19942 309 sdbcs 
mDiffFit 222 1536 17576 17894 318 sdbcs 
mDiffFit 421 1536 18686 18980 294 sdbcs 
mDiffFit 862 1536 19275 19565 290 sdbcs 
mDiffFit 451 1536 19151 19418 267 sdbcs 
mDiffFit 558 1536 19229 19901 672 sdbcs 
mDiffFit 155 1536 19471 19812 341 sdbcs 
mDiffFit 552 1536 19346 19790 444 sdbcs 
mDiffFit 816 1536 19736 20042 306 sdbcs 
mDiffFit 563 1536 19151 19437 286 sdbcs 
mDiffFit 534 1536 19628 20006 378 sdbcs 
mDiffFit 256 1536 16773 17070 297 sdbcs 
mDiffFit 700 1536 18745 19520 775 sdbcs 
mDiffFit 115 1536 18932 19214 282 sdbcs 
mDiffFit 61 1536 16801 17198 397 sdbcs 
mDiffFit 744 1536 19293 19639 346 sdbcs 
mDiffFit 712 1536 19418 19682 264 sdbcs 
mDiffFit 404 1536 18634 18951 317 sdbcs 
mDiffFit 143 1536 19627 19912 285 sdbcs 
mDiffFit 541 1536 19702 19994 292 sdbcs 
mDiffFit 259 1536 19623 19958 335 sdbcs 
mDiffFit 706 1536 19530 19754 224 sdbcs 
mDiffFit 545 1536 19765 20084 319 sdbcs 
mDiffFit 380 1536 19044 19345 301 sdbcs 
mDiffFit 730 1536 19007 19395 388 sdbcs 
mDiffFit 156 1536 18896 19234 338 sdbcs 
mDiffFit 704 1536 18829 19148 319 sdbcs 
mDiffFit 716 1536 19404 19696 292 sdbcs 
mDiffFit 673 1536 18233 18629 396 sdbcs 
mDiffFit 173 1536 18807 19192 385 sdbcs 
mDiffFit 151 1536 18852 19136 284 sdbcs 
mDiffFit 701 1536 18909 19243 334 sdbcs 
mDiffFit 493 1536 18351 18972 621 sdbcs 
mDiffFit 797 1536 18971 19295 324 sdbcs 
mDiffFit 361 1536 17340 17678 338 sdbcs 
mDiffFit 512 1536 19378 19703 325 sdbcs 
mDiffFit 546 1536 19675 20031 356 sdbcs 
mDiffFit 375 1536 16879 17224 345 sdbcs 
mDiffFit 399 1536 19174 19466 292 sdbcs 
mDiffFit 798 1536 18707 19020 313 sdbcs 
mDiffFit 90 1536 19305 19579 274 sdbcs 
mDiffFit 142 1536 18500 18808 308 sdbcs 
mDiffFit 715 1536 19412 19988 576 sdbcs 
mDiffFit 838 1536 18404 18732 328 sdbcs 
mDiffFit 844 1536 18627 18935 308 sdbcs 
mDiffFit 72 1536 18894 19222 328 sdbcs 
mDiffFit 464 1536 19387 19727 340 sdbcs 
mDiffFit 815 1536 18812 19057 245 sdbcs 
mDiffFit 145 1536 18481 18796 315 sdbcs 
mDiffFit 171 1536 17140 17477 337 sdbcs 
mDiffFit 543 1536 19236 19557 321 sdbcs 
mDiffFit 553 1536 19129 19501 372 sdbcs 
mDiffFit 544 1536 19990 20295 305 sdbcs 
mDiffFit 871 1536 18436 18715 279 sdbcs 
mDiffFit 456 1536 19379 19697 318 sdbcs 
mDiffFit 762 1536 19088 19471 383 sdbcs 
mDiffFit 523 1536 17179 17499 320 sdbcs 
mDiffFit 241 1536 19309 19610 301 sdbcs 
mDiffFit 677 1536 18922 19331 409 sdbcs 
mDiffFit 461 1536 19580 20033 453 sdbcs 
mDiffFit 685 1536 19684 20008 324 sdbcs 
mDiffFit 801 1536 18998 19658 660 sdbcs 
mDiffFit 483 1536 17576 17919 343 sdbcs 
mDiffFit 776 1536 16896 17310 414 sdbcs 
mDiffFit 48 1536 19655 19928 273 sdbcs 
mDiffFit 878 1536 18567 18884 317 sdbcs 
mDiffFit 216 1536 18695 18991 296 sdbcs 
mDiffFit 800 1536 19106 19420 314 sdbcs 
mDiffFit 104 1536 18758 19358 600 sdbcs 
mDiffFit 469 1536 19655 19966 311 sdbcs 
mDiffFit 364 1536 18334 19040 706 sdbcs 
mDiffFit 565 1536 19203 19566 363 sdbcs 
mDiffFit 245 1536 19172 19521 349 sdbcs 
mDiffFit 695 1536 19379 19729 350 sdbcs 
mDiffFit 874 1536 18741 19023 282 sdbcs 
mDiffFit 488 1536 20009 20277 268 sdbcs 
mDiffFit 494 1536 18510 18828 318 sdbcs 
mDiffFit 187 1536 19052 19325 273 sdbcs 
mDiffFit 363 1536 17268 17586 318 sdbcs 
mDiffFit 504 1536 19378 19708 330 sdbcs 
mDiffFit 569 1536 19955 20199 244 sdbcs 
mDiffFit 745 1536 19145 19470 325 sdbcs 
mDiffFit 857 1536 19714 20120 406 sdbcs 
mDiffFit 831 1536 17856 18262 406 sdbcs 
mDiffFit 484 1536 18323 18755 432 sdbcs 
mDiffFit 69 1536 18197 18628 431 sdbcs 
mDiffFit 733 1536 19091 19428 337 sdbcs 
mDiffFit 63 1536 19335 19653 318 sdbcs 
mDiffFit 510 1536 19565 19872 307 sdbcs 
mDiffFit 58 1536 17066 17431 365 sdbcs 
mDiffFit 468 1536 19597 19946 349 sdbcs 
mDiffFit 485 1536 19549 19828 279 sdbcs 
